fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
21025,724190,720457,03889,99999,4.826876998,9.904071343,Breathitt,Kentucky,25.66407263,12630
21027,724240,720451,13807,99999,26.7044512,28.20902905,Breckinridge,Kentucky,36.13768383,20477
21029,724230,720446,93821,99999,14.76593822,15.17482942,Bullitt,Kentucky,274.967844,81676
21031,746716,999999,93808,63849,21.95662297,24.85410604,Butler,Kentucky,30.24382979,12879
21033,749077,999999,99999,00421,27.72772398,29.36490907,Caldwell,Kentucky,37.01185305,12747
21035,720447,722781,00437,99999,6.353428845,20.50432909,Calloway,Kentucky,101.3012987,39001
21037,724297,999999,93812,00458,11.02106649,12.85154474,Campbell,Kentucky,618.4649309,93584
21039,724350,724975,03816,93809,17.73493483,19.99401752,Carlisle,Kentucky,25.0869906,4760
21041,744680,724233,99999,53841,19.49979416,35.43555488,Carroll,Kentucky,82.6997595,10631
21043,720449,724250,99999,03860,23.49737056,26.99295468,Carter,Kentucky,65.44577561,26797
21045,720448,720445,00144,99999,19.68560013,21.05774193,Casey,Kentucky,36.35901598,16159
21047,746710,746710,13806,99999,15.69641348,15.70006148,Christian,Kentucky,98.22904604,70461
21049,720456,720456,99999,00146,10.9248959,11.14734464,Clark,Kentucky,143.6753236,36263
21051,723290,999999,03849,03814,20.5887095,26.63816833,Clay,Kentucky,42.40295904,19901
21053,720379,724354,63882,99999,17.82703524,36.49396991,Clinton,Kentucky,51.82610981,10218
21055,749077,720170,99999,63851,15.25468292,37.74865045,Crittenden,Kentucky,24.48474503,8806
21057,720379,722322,63882,00361,29.82387108,35.3898391,Cumberland,Kentucky,21.70580513,6614
21059,724237,724237,99999,53803,4.355938227,4.53257829,Daviess,Kentucky,221.4934396,101511
21061,999999,746716,63849,93808,2.869546796,19.69907403,Edmonson,Kentucky,40.16363786,12150
21063,724250,720458,03860,00476,34.03653451,35.67431231,Elliott,Kentucky,32.07074631,7517
21065,720455,720455,99999,00145,20.5544173,20.57967038,Estill,Kentucky,55.76254089,14106
21067,724220,999999,93820,63838,8.010429802,16.09400373,Fayette,Kentucky,1139.213955,323152
21069,720452,720456,99999,00146,12.1384357,26.07885278,Fleming,Kentucky,41.86905492,14581
21071,720464,724133,99999,99999,9.848033019,13.46985886,Floyd,Kentucky,90.48127297,35589
21073,724233,724233,53841,99999,3.995565941,4.072285471,Franklin,Kentucky,245.4106767,50991
21075,999999,720488,63820,99999,16.4637119,31.59821153,Fulton,Kentucky,29.08715691,5969
21077,999999,724210,93814,93814,22.18288845,22.24444858,Gallatin,Kentucky,87.56446618,8869
21079,720455,720455,00145,99999,11.20399622,11.26526059,Garrard,Kentucky,76.77690397,17666
21081,999999,724210,93814,93814,27.35622473,27.42501476,Grant,Kentucky,97.17769848,25069
21083,720447,724350,00437,03816,15.92517083,23.98789593,Graves,Kentucky,67.56288354,37266
21085,999999,720451,63849,99999,15.78709272,27.71872267,Grayson,Kentucky,53.17014682,26427
21087,720445,722322,99999,00361,14.90681208,27.06100172,Green,Kentucky,38.29058447,10941
21089,720449,724250,99999,03860,9.979830301,23.46599755,Greenup,Kentucky,101.9372961,35098
